period,period_start,period_end,snapshots_used,snapshots_expected,has_gaps,dex,pool_name,pool_address,avg_tvl_usd,total_volume_usd,avg_apr_7d,avg_reserve_0,avg_reserve_1,avg_total_share,snapshot_count
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"ATOM-LUNA",terra1frfcj4xhvx0emkup4vel5jun9zun0797j5yhn7ant3r4jzy9mkxqzcwev6,8004.74,0.00,0.0000,2781459407,89813814683,10457365738,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"ATOM-axlUSDC",terra17l9xj8f6m8smumhn8wgpgnswr3mu60wfkcm6pjc69drxp0t398rs7335vn,11.49,0.00,0.0000,3997626,5733596,3271108,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"LUNA-ASTRO.cw20",terra1e6t37fgjkxrzdx2s95fyq6jdra5s82720vhtmxvx4yhcvnsrey4ssmrya6,10.88,0.00,0.0000,203273691,1262696410,440091012,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"LUNA-axlUSDC",terra1ck8nkz35sa8mmqez3lqrm77vh36n2gd2f0dxjde4uemkwsjt22pqgk49zj,121.49,0.00,0.0000,1361408590,60878364,91975901,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"bLUNA-LUNA",terra1j5znhs9jeyty9u9jcagl3vefkvzwqp6u9tq9a3e5qrz4gmj2udyqp0z0xc,187829.65,0.00,0.0000,1195705243141,2101198533908,1424794111416,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"ampLUNA-LUNA",terra1tsx0dmasjvd45k6tdywzv77d5t9k3lpzyuleavuah77pg3lwm9cq4469pm,80251.73,0.00,0.0000,405548570745,897585023117,497078937085,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"wBTC.axl-LUNA",terra1xhhr7x8yhv9p336t3squh5f8t2827ttrevnwrwwvqrp88nkt665qy0w07c,0.39,0.00,0.0000,346,3618818,28010,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"bLUNA-SOLID",terra1shd0wd8atmevjtryzcqzu6sxsmc4hjek43kxqsz08wxwk4nt0wvsav9004,0.00,0.00,0.0000,1483,857,1057,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"ampROAR-ROAR",terra1d8ap3zyd6tfnruuuwvs0t927lr4zwptruhulfwnxjpqzudvyn8usfgl8ze,34751.76,0.00,0.0000,76047278349516608,90615266318008240,81443050506788688,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"MOAR-ROAR",terra1j0ackj0wru4ndj74e3mhhq6rffe63y8xd0e56spqcjygv2r0cfsqxr36k6,0.00,0.00,0.0000,92798544377,612957136901,234517569467,0
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"LUNA-USDC",terra16a45v4k74w3yy30utfxdsekdlnks27sv48sn2suaf4wt7u6meq8scz75mx,80800.83,0.00,0.0000,907081334307,40405653813,163900036420,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"wBTC.osmo-LUNA",terra1aysexulsnuxna62m5rlnuzfcvct3df93gd4q0kkjtjcqsvv93s5sd0fyd2,513.83,0.00,0.0000,399908,5690921773,43353267,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"LUNA-USDt",terra1wymgwg90ry2w04avy899ucmuuak7w8n3xw2msmw2jf9rfugre0ssenx4hn,5438.32,0.00,0.0000,60986006114,2725478877,11596535545,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"LUNA-SOLID",terra18fved7svlqq9q9h23cg4uw97lllmg7fa03psevczy20ayhdwrm3sznjeh5,72.27,0.00,0.0000,810891655,35906963,163695513,6
