period,pool_id,pool_address,avg_tvl_usd,total_volume_usd,avg_apr_7d,avg_reserve_0,avg_reserve_1,avg_total_share,snapshot_count
2026-W03,"ampLUNA-LUNA",terra1tsx0dmasjvd45k6tdywzv77d5t9k3lpzyuleavuah77pg3lwm9cq4469pm,74302.58,0.00,0.0000,434685698302,834691971992,497763208631,4
2026-W03,"ampROAR-ROAR",terra1d8ap3zyd6tfnruuuwvs0t927lr4zwptruhulfwnxjpqzudvyn8usfgl8ze,0.00,0.00,0.0000,88720840191727984,97266466707419728,91169231501250176,4
2026-W03,"ampWHALE-WHALE",terra1ntx595elf3ukxcd0wy76h24rzztcv2p6n3wmfd358ks95prv42fs9mn63n,316.01,0.00,0.0000,1166985783198,1277617746910,1147077523558,4
2026-W03,"ATOM-axlUSDC",terra17l9xj8f6m8smumhn8wgpgnswr3mu60wfkcm6pjc69drxp0t398rs7335vn,15.27,0.00,0.2656,2952871,7731543,3271108,4
2026-W03,"ATOM-dATOM",terra1aa8nurhuk7rwedhjyzptggypuxd3y66qp4nsx6ph240g37esdm7qyheqkd,1996.96,0.00,0.1355,781630313,624262143,693861804,4
2026-W03,"ATOM-LUNA",terra1frfcj4xhvx0emkup4vel5jun9zun0797j5yhn7ant3r4jzy9mkxqzcwev6,14730.79,1033.64,1.3536,2881835120,82688320269,10374032347,4
2026-W03,"ATOM-stATOM",terra1c439uc3qdlfuqncxae7l07nsdgjtu45g98yhn5ydjn2866nsw3ws0e0vte,0.00,0.00,0.0000,1215,825,1000,4
2026-W03,"bLUNA-LUNA",terra1j5znhs9jeyty9u9jcagl3vefkvzwqp6u9tq9a3e5qrz4gmj2udyqp0z0xc,183903.97,0.00,0.0000,1260346184708,2065799376520,1451082540207,4
2026-W03,"bLUNA-SOLID",terra1shd0wd8atmevjtryzcqzu6sxsmc4hjek43kxqsz08wxwk4nt0wvsav9004,0.00,0.00,0.0000,1483,857,1057,4
2026-W03,"bWHALE-WHALE",terra1j9jmsplecj9ay2py27953p84nfmv7f6ce75ms5fleyhd0aecpc7q0hgmsa,352.16,0.00,0.0000,1562815817570,1552338068021,1499599087648,4
2026-W03,"CAPA-LUNA",terra15rzp38yq2cqy2jnewc9vgzqguf3t2q0gqpv9evg8tckrtqp8x44qezhthc,404.46,1.28,0.0246,395898080802,4543532638,41554811081,4
2026-W03,"DINHEIROS-LUNA",terra1k45gtuv5ctphpctjlhg4l02wqehnj92z29ctffnyxnkrdmrd34nqxema3v,0.53,0.00,0.0000,1,6000000,2449,4
2026-W03,"LUNA-arbLUNA",terra1wttdzwa6pdegtrdjdw49y0pd3dd8qd3cqn89j6t9v978lx05rr8sew5jyq,1149.44,0.00,0.0000,12912217215,4786328590,7828090619,4
2026-W03,"LUNA-ASTRO",terra1hvntefafgn05llkqyl6uxx6j0jjwmqjtxqdrwdm43s9tkzx7xkfqkcl7h6,2.58,0.00,0.0000,13848150,730271418,98766928,4
2026-W03,"LUNA-ASTRO.cw20",terra1e6t37fgjkxrzdx2s95fyq6jdra5s82720vhtmxvx4yhcvnsrey4ssmrya6,13.67,0.00,0.0000,153541578,1666729235,440091012,4
2026-W03,"LUNA-axlUSDC",terra1ck8nkz35sa8mmqez3lqrm77vh36n2gd2f0dxjde4uemkwsjt22pqgk49zj,170.89,1.76,0.1402,961497108,85346066,91975901,4
2026-W03,"LUNA-EURe",terra1gny66hmejvrkra39cn7r8f7y7yg06hy3cv2xehpxraqfgjtdtpnqjtmu53,12747.36,0.00,0.0000,143221189674,10933191182,37967839829,4
2026-W03,"LUNA-INJ",terra1q2gd6kc7nt8xct94chrlsqtpxfs9rve0j76lquce624y5zp85cdseshh85,873.04,16.80,0.3317,4904186068,81461862324541947904,615519759557113,4
